;Country_ID;city;EWP;coorX;coordY;Continent_Name;Country_Name
1429;USA;MN St;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_St.Paul-Downtown.AP.726584_TMY3/USA_MN_St.Paul-Downtown.AP.726584_TMY3.epw;-93.05;44.93;North America;United States of America
1430;USA;MN Cambridge;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_Cambridge.Muni.AP.727503_TMY3/USA_MN_Cambridge.Muni.AP.727503_TMY3.epw;-93.27;45.57;North America;United States of America
1431;USA;MN Duluth;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_Duluth.Intl.AP.727450_TMY3/USA_MN_Duluth.Intl.AP.727450_TMY3.epw;-92.22;46.83;North America;United States of America
1432;USA;MN Faribault;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_Faribault.Muni.AWOS.726563_TMY3/USA_MN_Faribault.Muni.AWOS.726563_TMY3.epw;-93.32;44.33;North America;United States of America
1433;USA;MN Hallock;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_Hallock.727478_TMY3/USA_MN_Hallock.727478_TMY3.epw;-96.95;48.78;North America;United States of America
1434;USA;MN Wheaton;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_Wheaton.AWOS.727533_TMY3/USA_MN_Wheaton.AWOS.727533_TMY3.epw;-96.5;45.7;North America;United States of America
1435;USA;MN Aitkin;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_Aitkin.AWOS.727504_TMY3/USA_MN_Aitkin.AWOS.727504_TMY3.epw;-93.68;46.55;North America;United States of America
1436;USA;MN Mora;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_Mora.Muni.AWOS.727475_TMY3/USA_MN_Mora.Muni.AWOS.727475_TMY3.epw;-93.27;45.88;North America;United States of America
1437;USA;MN Little;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_Little.Falls.AWOS.726578_TMY3/USA_MN_Little.Falls.AWOS.726578_TMY3.epw;-94.35;45.95;North America;United States of America
1438;USA;MN Rochester;https://energyplus.net/weather-download/north_and_central_america_wmo_region_4/USA/MN/USA_MN_Rochester.Intl.AP.726440_TMY3/USA_MN_Rochester.Intl.AP.726440_TMY3.epw;-92.5;43.9;North America;United States of America
